,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
224,Sheffield,Chelsea,1602,1885,2,0,H,17,33,34,26,13,30,W,7,3,7,8,5,3,0,2,0,0,1.8,3.8,4.2,18,6,23,W,3
225,Leeds,Crystal Palace,1727,1690,3,1,H,39,26,40,36,32,28,W,6,4,9,6,2,12,1,2,0,0,3.5,3.4,2.1,5,18,23,W,3
226,Leicester,Liverpool,1802,1910,0,3,A,40,44,26,23,44,40,W,3,4,15,14,7,4,0,0,0,0,2.37,3.1,3.2,20,2,23,W,3
227,Crystal Palace,Burnley,1690,1711,3,0,H,26,15,36,29,28,23,W,6,3,12,13,4,2,1,3,0,0,1.28,5.75,9.5,18,18,23,W,3
228,Man City,Tottenham,2013,1813,0,0,D,40,32,18,19,45,36,W,9,1,16,12,9,2,2,3,0,0,2.7,3.5,2.5,18,9,23,W,3
229,Brighton,Aston Villa,1696,1718,1,2,A,25,35,30,27,24,31,W,3,4,10,9,4,6,2,2,0,0,2.37,3.2,3.1,18,8,23,W,3
230,Southampton,Wolves,1693,1757,1,1,D,34,32,25,35,40,26,D,3,7,13,10,4,5,5,0,0,0,10,5.5,1.3,11,18,24,D,1
231,West Brom,Man Utd,1624,1934,4,2,H,15,40,50,33,13,45,D,5,5,8,17,4,5,0,2,0,0,1.83,3.8,4,18,3,24,D,1
232,Arsenal,Leeds,1830,1727,0,2,A,25,41,34,40,28,35,D,2,3,7,16,5,4,1,1,0,0,1.85,3.6,4.2,1,5,24,D,1
233,Everton,Fulham,1759,1631,3,0,H,39,19,27,35,44,15,W,9,5,11,12,7,7,0,2,0,0,1.66,3.75,5.25,15,13,24,W,3
234,West Ham,Sheffield,1804,1602,2,0,H,36,19,25,34,44,16,D,5,4,9,13,10,5,0,0,0,0,1.22,6.5,12,7,18,24,D,1
235,Chelsea,Newcastle,1885,1500,1,1,D,33,23,28,36,30,23,L,3,3,7,13,5,5,1,1,0,0,2.75,3.2,2.7,6,4,24,L,0
236,Burnley,Fulham,1711,1631,1,3,A,15,19,32,35,23,15,L,2,7,8,8,0,10,2,1,0,0,8.5,5.5,1.33,18,13,24,L,0
237,Everton,Man City,1759,2013,1,0,H,39,40,27,18,44,46,W,5,7,13,8,7,9,1,0,0,0,2.37,3.3,3,15,18,24,W,3
238,Wolves,Leeds,1757,1727,1,1,D,32,41,35,40,26,35,L,1,3,10,10,3,6,1,1,0,0,5,3.8,1.7,18,5,24,L,0
239,Southampton,Chelsea,1693,1885,0,0,D,34,33,25,28,40,30,D,1,3,16,10,5,5,3,0,0,1,2,3.3,4,11,6,24,D,1
240,Burnley,West Brom,1711,1624,0,2,A,16,19,35,52,23,16,L,6,6,10,10,7,2,2,1,0,0,1.44,4.5,7,18,18,25,L,0
241,Liverpool,Everton,1910,1759,1,0,H,48,40,25,27,43,47,W,7,2,11,14,6,4,1,2,0,0,2.15,3.2,3.6,2,15,25,W,3
242,Fulham,Sheffield,1631,1602,2,1,H,22,19,36,36,18,16,W,4,4,14,7,5,7,4,3,0,0,2.62,3.4,2.7,13,18,25,W,3
243,West Ham,Tottenham,1804,1813,1,2,A,38,34,25,20,47,40,W,2,7,11,12,7,8,2,1,0,0,2.87,3.5,2.4,7,9,25,W,3
244,Aston Villa,Leicester,1718,1802,0,1,A,37,44,29,30,34,47,L,1,3,11,9,1,3,2,2,0,0,6.5,4.33,1.5,8,20,25,L,0
245,Arsenal,Man City,1830,2013,3,1,H,25,40,36,19,28,46,L,7,6,9,11,6,4,1,2,0,0,1.28,5.5,10,1,18,25,L,0
246,Man Utd,Newcastle,1934,1500,1,2,A,42,24,37,37,45,24,L,5,2,11,6,13,0,2,0,0,0,1.7,3.5,5.5,3,4,25,L,0
247,Brighton,Crystal Palace,1696,1690,3,0,H,28,30,35,39,24,31,L,7,5,11,13,2,4,1,2,0,0,2.25,3.5,3.1,18,18,25,L,0
248,Leeds,Southampton,1727,1693,2,1,H,42,34,41,25,36,41,D,3,3,8,11,4,2,1,1,0,0,1.22,6.5,12,5,11,25,D,1
249,Man City,West Ham,2013,1804,1,0,H,40,38,19,25,46,47,L,2,6,11,12,7,4,0,0,0,0,4.2,3.3,1.95,18,7,25,L,0
250,West Brom,Brighton,1624,1696,0,1,A,21,31,52,35,19,27,W,3,4,14,14,7,5,3,2,0,0,2.15,3.6,3.2,18,18,26,W,3
251,Leeds,Aston Villa,1727,1718,1,1,D,44,38,42,30,39,35,W,7,4,11,13,3,5,2,0,0,0,3.5,3.2,2.2,5,8,26,W,3
252,Newcastle,Wolves,1500,1757,0,0,D,26,34,38,37,27,28,W,0,4,10,14,1,3,1,1,0,0,3.5,3.2,2.2,4,18,26,W,3
253,Crystal Palace,Fulham,1690,1631,1,3,A,30,24,42,37,31,21,L,3,4,15,3,2,7,2,1,0,0,2.5,3.4,2.8,18,13,26,L,0
254,Leicester,Arsenal,1802,1830,4,0,H,45,28,30,37,50,31,W,7,3,6,10,3,4,0,0,0,0,1.53,4,6.5,20,1,26,W,3
255,Tottenham,Burnley,1813,1711,0,0,D,34,16,20,37,41,23,D,6,4,11,12,3,4,1,2,0,0,2.15,3.4,3.4,9,18,26,D,1
256,Chelsea,Man Utd,1885,1934,0,2,A,34,43,29,39,32,45,D,2,8,9,9,4,3,0,0,0,0,8,5,1.36,6,3,26,D,1
257,Sheffield,Liverpool,1602,1910,1,0,H,20,49,38,25,16,46,L,1,1,13,9,4,10,0,2,0,0,2.15,3.5,3.3,18,2,26,L,0
258,Everton,Southampton,1759,1693,4,1,H,40,35,28,27,47,41,L,10,1,9,5,10,2,0,1,0,0,1.18,7,15,15,11,26,L,0
259,Man City,Wolves,2013,1757,1,1,D,41,34,22,37,46,28,L,7,4,6,12,5,8,0,2,0,0,4,3.25,2,18,18,26,L,0
260,Burnley,Leicester,1711,1802,1,0,H,16,49,37,30,24,53,D,2,4,13,6,2,7,1,0,1,0,3.75,3.4,2.05,18,20,27,D,1
261,Sheffield,Aston Villa,1602,1718,0,0,D,21,38,38,30,19,36,W,2,1,4,13,4,6,1,0,0,0,8,4.75,1.4,18,8,27,W,3
262,Crystal Palace,Man Utd,1690,1934,0,1,A,31,45,45,39,31,48,L,3,2,13,9,4,1,2,1,0,0,4,3.6,1.9,18,3,27,L,0
263,West Brom,Everton,1624,1759,0,1,A,21,44,53,29,19,50,L,3,3,9,7,3,3,3,1,0,0,4.33,3.6,1.83,18,15,27,L,0
264,Fulham,Tottenham,1631,1813,0,1,A,27,35,38,20,24,44,W,1,5,9,8,5,2,0,0,0,0,2.25,3.6,3,13,9,27,W,3
265,Liverpool,Chelsea,1910,1885,1,1,D,49,34,26,31,46,32,L,5,3,5,12,2,4,1,1,0,0,5.5,4,1.61,2,6,27,L,0
266,Burnley,Arsenal,1711,1830,0,2,A,16,28,37,41,24,31,D,2,5,17,11,7,3,4,3,0,0,3.6,3.5,2,18,1,27,D,1
267,Sheffield,Southampton,1602,1693,0,0,D,21,36,38,31,19,41,W,1,2,13,13,5,3,1,0,0,0,2.37,3.25,3.1,18,11,27,W,3
268,Aston Villa,Wolves,1718,1757,1,2,A,38,34,30,37,36,29,D,2,4,14,8,6,6,0,1,0,0,2.55,3.25,2.8,8,18,27,D,1
269,Brighton,Leicester,1696,1802,0,0,D,32,49,35,30,30,53,W,3,5,11,10,9,7,0,0,0,0,2.37,3.2,3.1,18,20,27,W,3
270,West Brom,Newcastle,1624,1500,0,1,A,21,27,54,38,19,31,L,3,3,10,8,9,4,2,3,0,0,1.36,5,8.5,18,4,28,L,0
271,Liverpool,Fulham,1910,1631,0,2,A,50,27,27,39,47,24,D,6,6,9,12,6,2,0,3,0,0,1.45,4.5,7,2,13,28,D,1
