,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
42,Huddersfield,Leicester,1600,1802,1,1,D,4,6,2,8,7,3,L,0,3,1,6,6,8,4,1,1,0,0,3.5,3.4,2.25,18,20,5,L,0
43,Liverpool,Burnley,1910,1711,1,1,D,8,5,8,4,7,7,L,0,9,4,7,9,12,2,1,2,0,0,1.29,6,13,2,18,5,L,0
44,Newcastle,Stoke,1500,1600,2,1,H,4,4,3,4,6,5,W,5,3,4,13,11,7,5,3,1,0,0,2.38,3.25,3.4,4,18,5,W,5
45,Tottenham,Swansea,1813,1600,0,0,D,7,2,3,5,7,4,W,5,8,0,11,9,11,1,1,3,0,0,1.22,7,15,9,18,5,W,5
46,Watford,Man City,1600,2013,0,6,A,7,10,3,2,8,10,W,5,1,10,8,6,3,11,2,0,0,0,9,6,1.33,18,18,5,W,5
47,West Brom,West Ham,1624,1804,0,0,D,4,4,4,10,7,3,L,0,1,1,15,7,2,3,2,2,0,0,2.38,3.25,3.4,18,7,5,L,0
48,Chelsea,Arsenal,1885,1830,0,0,D,8,7,5,8,9,6,W,5,4,2,11,15,5,1,1,3,1,0,1.8,4,4.5,6,1,5,W,5
49,Man United,Everton,1600,1759,4,0,H,12,2,2,6,10,4,D,3,7,3,15,14,4,1,1,1,0,0,1.36,5.25,10,3,15,5,D,3
50,Burnley,Huddersfield,1711,1600,0,0,D,6,5,5,3,8,8,D,3,3,2,9,13,3,4,3,2,0,0,2.15,3.25,3.9,18,18,6,D,3
51,Everton,Bournemouth,1759,1600,2,1,H,2,3,10,9,4,3,L,0,4,4,12,11,4,6,3,1,0,0,1.65,4,5.75,15,18,6,L,0
52,Leicester,Liverpool,1802,1910,2,3,A,7,9,9,9,4,8,D,3,7,6,13,14,3,6,3,3,0,0,4.1,3.9,1.91,20,2,6,D,3
